entry_buffer,sl_factor,target_factor,Trades,Win%,Expectancy,Cumulative PnL,Final Lots
2.0,0.5,1.5,30,30.0,-27424.0,-24681600.0,1
2.0,0.5,2.0,30,30.0,-27424.0,-24681600.0,1
2.0,0.5,2.5,30,30.0,-27424.0,-24681600.0,1
2.0,1.0,1.5,30,30.0,-27424.0,-24681600.0,1
2.0,1.0,2.0,30,30.0,-27424.0,-24681600.0,1
2.0,1.0,2.5,30,30.0,-27424.0,-24681600.0,1
2.0,1.5,1.5,30,30.0,-27424.0,-24681600.0,1
2.0,1.5,2.0,30,30.0,-27424.0,-24681600.0,1
2.0,1.5,2.5,30,30.0,-27424.0,-24681600.0,1
2.0,2.0,1.5,30,30.0,-27424.0,-24681600.0,1
